df69b432145cf003be7cce77cafd4d22	Phong cảnh
60958347bd865ebf0b5155561dc90984	August Leopold Crelle
423653	Lịch sử địa chất Trái Đất
149908	Inrasara
e67d21160b83a833116f024b537e646c	Ching-Thang Khomba
468167a46e7bd1c9a573171e88fde568	Boomerang (Vương quốc Liên hiệp Anh
cafd789accc209da605a9aea5eb2c990	ASEC Mimosas
122698	Bản thể học
102333	Hoa Lư, Ninh Bình
05246150c2042813fbd6efc2894f730e	Pecos River
820520	Herzliya
dc21229532475e915937db87701e01bf	Bell Telephone Laboratories
8574	Chuẩn tướng
323599	Cheongdo
213072	Dương Khúc
3cee98c3662b3dd59d7432ffc6ceb34b	Basutoland
f3b8cc82839db9d47d19b96bd29133e7	Adolf zu Hohenlohe-Ingelfingen
26139	Lưu huỳnh
968834	Cầu Hữu nghị Trung-Triều
577718	Hoàng Cầm (tướng)
db09d5f40628e35534c99f311abb65f1	Anh Quốc tại Thế vận hội Mùa hè 1912
18937	Ma sát
820400	Xuân Liên
392140	1819
1242724	Bình Hòa Tây
dfe76b98a2d82ec1a996f51c688ae045	Bộ phận hoán đổi
458897	Dạ yến (phim 2006)
6e906040c1f3a4aac4f7cd3935dd381e	Biological engineering
b0425f4a17ec3b4637d988aae6edf4de	Baltasar Gracian y Morales
f15d337c70078947cfe1b5d6f0ed3f13	2130
f047ac08a4d564b2b57efafff2eebcb6	Niên hiệu Anh
44428183919c5abf3ab3ad728ffcd654	Đại giáo đường Canterbury
78833	Khởi nghĩa Bà Triệu
38323	Dominica
5e79afd4abaa747c73d4283f9ec8b6c9	Bầu cử ở California
315953	Công ty đại chúng
7eac85477200ea0d42e7e09bfbd7e0c4	Đồi Cavehill
259951a47abd3b9c3eee5ac84e296e52	Coat of arms of Collonge-Bellerive
5228	Boson W
61837	Linh cẩu
250309	Abdul Hamid II
530512	1500
42742	Australasia
10683562	Chiến tranh tâm lý
1336580	Sóng ngắn
528879	1725
10931	Mật mã học
6bbf55252cf062fea955c946617168f2	Chiếu Lên Ngôi
183947	Hwanghae Nam
2044	Di truyền học
262f9708822ff7b70318f556e7b1c35a	Thể loại:Kiến trúc thập kỷ 1890
26	California
c7236804e3228404c366815ddb54332e	Kiều Lâm
20523	16 tháng 9
106180	Axit cacboxylic
76943	Chiến tranh
55239	Nguyễn Lữ
124389	Cộng hòa Tự trị Nam Kỳ
1335643	El Encanto
120028	Buôn
de71927ebca810337e0cb8b25306d4ce	Cem Sultan
67377	Khai Phong
51748	Bến Nhà Rồng
6288ce0f4354b6cd03bd307adc32f7bb	Bóng bầu dục bảy người tại Thế vận hội Mùa hè 2016 - Nam
57683	Thiên niên kỷ 1
3ebf68cdd4f853a7310bc2c8d42f8ac0	Deruta
9757312573f680df662061d5bdee193c	Ban Đệ
9914	Clarinet
301275	Tống Phước Hiệp
c6d34ed5669bed5f77a3ce1b85b7487b	Truy nã
799330	Bình Thạnh, Hồng Ngự
108545	Bóng đá tại Đại hội Thể thao Bán đảo Đông Nam Á 1967
a5b4be5333b571b4d3d78315081fd91b	Pinus classification
10714	Hàm lượng giác
131133	Hoành Sơn
152594	Kim văn
316385	Bệnh viện Sant Pau
529235	1623
40918	Malta
250566	Air Inuit
62946	Apartheid
529271	1650
579673	Hùng Dũng
14974302919873485fec4654d3b21b51	Dick Gephardt
28090	UNESCO
39203	Trường Đại học Bách khoa Hà Nội
22581	Adam Smith
28f5779f9a53bb94fb5c12fc1be750c3	Nhỏ hơn hoặc bằng
115741	Công ước Ramsar
7537646	Ban Nội chính Trung ương
529348	1683
2440867	Dương Phụ Thanh
036ff104291c28eda8c093ccf9b4a397	Carl Zuckmayer
3b97879be0e4736d158f6981dc496f15	Coccolithophores
bf7f523cc1834864895a4b027c286386	Thành phố tự trị
909d3319187cf1a7e1845f5b4004ac22	Cayo (huyện)
49326	Thế kỷ 13
8e487b457cde245bc278787766aaa18a	Atomic Energy of Canada Limited
28755e840d24e8681f4a56ecdea0d768	Bãi Trũ
3132937	Hoàng tử Philippe, Bá tước xứ Flandre
11960	Thập địa
e01d7f6d36a210f91a929c36c8c4458f	Chiến tranh trên bộ
2365664	Camellia angustifolia
213454	Hạ (huyện)
761838	Vương quốc Phổ
294599	Boumerdès (tỉnh)
571fc6bd9745ab569c27ad39800f7b18	Ataraxia
a7de54ba0b071fab64ddd22319aee73a	Bộ Xiển
3513634	Kangar
2452430	Bóng đá tại Đại hội Thể thao châu Á 1990
77a61862fbf51b2c61e28eb7f1f5e2b7	Air Mikisew
189492	Chu Chí
53593	Chủ nghĩa yêu nước
528934	1767
1201463	Nhà Lê trung hưng
900277	Hệ sao
1fe16758abdea5b5320cc7a2917322df	Atletico Olanchano
91690	M4 Carbine
13961	Chí Linh
8b3e6ccbda6afd008f26042ef1d50906	2007-02-02
115	Lý Thường Kiệt
2440721	Lưỡng Quảng
107812	1904
20066	3 tháng 1
39993	Phúc Âm
e9dce02a3c28f1b08a731636a142fca9	Aristide Briand
22637	Toronto
41721	Lê Hữu Trác
403a1b097abf6ea85567ef860fe8183c	Donna Shalala
541067629b1ff1da2a8b321c260282c7	Piper (chi)
529008	1616
845345	Mùa Vọng
499083	Conakry
330838	AH1
534e0b6a8f68e19214ed3f16b5377dcf	Amable Audin
643a27aaa8b4c7372992a973e1ff47e6	Thọ Hưng Cung chúa
163321	Inoue Genzaburō
1242232	An Nhơn, Châu Thành
530934	781
3660834	Mạc Đăng Lượng
1279655	Thập niên 120 TCN
1001	21 tháng 4
e3b46743eb3e8710d71f53f2b2cd3e19	Correlli Barnett
c5788742779f7080daff0ac629e979a5	Chiến tranh Berber thứ nhất
3647	Can Chi
7292dff6565bc9b23daa4d9e7c0bfd41	Bá chủ
7f7241042425308f7baebbd6f1bf4c22	Thể loại:Phá hủy thập kỷ 1740
560737	Lực hấp dẫn
5dcbac43a388cb7d413c97c810feb2c5	Giải Wolfskehl
82815	Xibia
109543	Thể loại:Mất thế kỷ 18
61131	Giang Văn Minh
882b1e7f4e3bda1377d67d0886c153db	Bóng đá tại Thế vận hội trẻ Mùa hè 2014 - Nam
77528	Ea H'leo
e3631bb02298c0b1ea27723af02f7435	Huân chương Sao đồng
530823	850
3196561	Chính phủ Pháp
b86f7c9dc1046b6ba8a0de3b7ea9e0f4	Tôn Thất Huy
38318e7c177aa0e66b170aacc81dfd3b	Grand Prix de la ville d'Angoulême
84980	Hồ Hán Thương
22cdad3d83c67e8daec5e1c133a06f7d	Manon Lescaut (Auber)
3153405	Kinh (Phật giáo)
12732562	Tin Lành
2365665	Camellia anlungensis
26869	Tuyên ngôn độc lập Hoa Kỳ
94977efcf626e65acf2fbdfe0dc6ea65	Cúp Albena
271d4ebaef417e0798b1d24148f10f39	Global Volcanism Program
63469	1991
257486	Dương Lăng
253581	Nam Trân
461445	Anneville-en-Saire
541367	32 TCN
1b83331ee5b0015c375e6542628088a8	Centre
3751	Công nguyên
46334	Massachusetts
9bb5854ed2ee8307f59a1736438041dc	Cơ sở Mới
724854b7576f74dabab6c861d4bf6340	Alpheus Babcock
c3730b220b5215d4d2da7dbb0d966abe	Bernardo de Gálvez y Madrid, Bá tước Gálvez
47422d8cf4b265ff5433288931fcf975	China Eastern Airline
db8e0c7784bf891b3904d6f47ba7eb2b	Amy Winehouse Foundation
ec6259f87b498e9e1f889114579e6377	Crunk
293602331613e08bb3c862560e37ecb5	Chung kết FIFA Club World Cup 2007
524286	Castilla và León
75fdb6d7603bc09a1bb7aebb13ef944f	Công nghệ Eco
89449fe33527644585013f2e1f0964bb	Brooch
67e9d10dab85d0d75de82c6456daed1b	Arie Deri
459e5a54da8139ff620abf3655178ecc	Chiến tranh hiện đại
c9ec2e1ebe679d99a818cc23004a4d77	Biến đổi dần dần
242465	Lương Đắc Bằng
2463041	Chiến dịch Hải Trừng
d6b33a8815203af93da4d062db9ab6ff	Anthony Kenny
758db09e0dd1bf4c7d39a4112995c3ae	Annals of Mathematics
9116	Phong trào Tin Lành
7fdf69dc8838141e86016d189ac9454a	Hatamoto
61841	Cá ngựa
3693705	Papal States
40296	New Jersey
11252	Quảng Bình
14a8d971c63f9f3ffc36c355cc5a9c48	Alfred Newton Richards
33606	Cao Xuân Huy
50992	Hoàng Diệu
28034	Hằng số điện môi
348639	Thị giác
411206	Lưu Gia Lương
53726	Thể loại:Mất thập kỷ 1540
56f2abd847e01a1322c4c8c3d20a1215	Dinocrates Rhodes
e752198572f9f980a1aae4aa2641f944	Andrew Kopkind
462498	Chiến dịch Bolo
54183	Gao Xingjian
e9c1427642889238335525d07959089a	Khu tự quản Bỉ
278060	Trung tá
de69a14bfb6d1a730f7375dbaa256991	27 tháng tư
51177	Hiến chương Liên hợp quốc
ecd7621f70831ab56eebd781f68a6428	Chùa Bảo Châu
1c36b2c89b4070be2dd5d18b0971a182	Alan Bergman
42024	Nguyễn Văn Tường
5ac53069a53a91f836f49d2a21f9c436	Châu Âu đại lục
d256cbd93c7fd2d78f5844273f3ca1af	Chất phân cực
ff5d9c84e4e40920f9d3fc2d82999b8a	Avisa Relation oder Zeitung
24002	Humphry Davy
4fcf860a95149baab31f7f76a017bbbe	Cấy máu
1109365	Thu Phương
98fd9ecf7083220ba287daf18d193cc6	Caritas Tanjungkarang
2488	Giải Nobel
130734	Søren Kierkegaard
6a0914ea73143486a2695df6988d6362	Annecy-Centre (tổng)
624766	3
1133374	Antigua
2ded96caf12ffb6783234d1960b568de	Cờ hiệu hải quân
7e46411dd410debe7766aaa7934d24ff	Bench jeweler
09ef1725ac5c130e0b6fe2ab489b9158	Thể loại:Kiến trúc thập kỷ 1770
a405de564d929dceda3ade21ee21d919	Chủ nghĩa tư bản độc quyền
529245	1632
3889d9d423476d85b9fe27b8efe6740e	Camporeale
12885	God Save the Queen
122072	Chiến tranh Iran-Iraq
102829	Bruxelles
0d62537627c1ebf1cb51af28e8c2f3ed	Abu Mansur Daqiqi
55cf92a75dee32bf7dc3f645f7e67bc1	Basak
107147	Ft (định hướng)
624d876aa75e46674df1c4249038764e	Thể loại:Thành lập thập kỷ 1780
64798	Ho gà
5d927eccaf7465f9f34d9863f6365bf8	Thể loại:Thành lập thập kỷ 1740
30753	Quang học phi tuyến
4b66973817786e204829fc0bc32f00f6	Kinh tế bị khủng hoảng
8b1cc6b2722a43b198610697c187f949	Phạm Thái Bường
3401520	Thể loại:Mất năm 1453
70920	Burgenland
e946531f16a152145b75a604b6d30b0c	Dojlidy
d6bbc223d79888faad6143265b9cfd74	Hiệp ước 1884
28914	Nam
15964	Kinh tế học
529773	1345
1990	KDE
59022	Nghị viện
199f830c079401cf520fa6f5da132d5b	Albert Grossman
542954	192 TCN
cced00d10c5cf8859a1e22453e3835e9	Annie Besant
b2e00a733d805fb38bb3a34b987735e6	Atlasodon
2bc14e607a34994cf952babddd1ae314	Kosem Sultan
27f4916510c07942450d72b33889a058	Bả hào
107946	1962
352121d4614edc30ec8b88a86cc7d765	Màu bổ sung
7a9898cb7f3af7748c5d77632eb0a329	Henri Jaspar
529200	1560
71935930d1866b78267e40353e87ca1c	Các vết tích của Quá khứ
186976	Nguyễn Văn Tuyên (định hướng)
a6f46b3d577e2c731cd6c99584c2b542	Hoá dầu
20699	23 tháng 12
334411	Đào tạo từ xa
529888	1225
7eb8d7f43e353c5965dbd806aed10e40	Al Muaisem
b4209351585d156afa7c8c31dc2a1181	Algérie tại Thế vận hội Mùa hè 2004
13791	Hệ quy chiếu
7a0911f1c4d426fc15b0ade4912f0aac	Sejm
621c89912257e939af2b7fc920f7cd8f	Chu Tướng Quốc
c9067042a3eba024d36715b5ea1b07e2	Lịch Hellenic
c7583ac7e2ad078f29c95d8c49b5c902	Carlos García y García
c46db49a7e2ac49cf1c286edb8b73c9f	Arthur Golding
3208713	Hoàng Kỳ
d7c2b0ec2a599daecf114b9fdfcd18b5	Sách Giôen
438fe0c2c047cf0e4da2156462b649c4	Elihu Root
7b01298652bbff79051bbee1b04744e2	Augustus III of Poland
1249873	Khun Há
a434a289b5bcb5731cc8649ec3394fbe	Audi Q7
3427379cf3e47a5ca294afa6af865f2a	Cao thân nhiệt
811936	Feira de Santana
35501	Nguyễn Văn Trỗi
37e995a3500e614e2e7b257a6e850a8a	Michelia angustioblonga
232633fcf5b3b47e8dd0acb555082401	Bộ Học
907e1b0cb3cdf81f70b6b7e2c7d19e5a	Orthorhombic
698060	Công nghiệp dược phẩm
d795e735f3033e38be59c25275603f48	Bờ
1747902	Hoàng Mai (thị xã)
531902	459
f44de31fc1ee0e6cb7a3452c190d28b2	Ekaterina Dashkova
1405181	Nghiêm Ích Khiêm
ec5d5d76886dcaf8e248c3596f233b05	Huyện Thanh Quan
85518	Nguyễn Hữu Huân
d08451bdc51e2945e03dbb7fd3b2026d	Bob Burton (novel)
306677	Castel San Pietro Terme
24498	Biển Chết
289103	Castellet-lès-Sausses
99f6f6352e28309e458b350510fddafe	Chiến dịch Quân đội Cộng hòa Ireland Lâm thời 1969-1997
3621	Sóc (lịch)
797795	Jean Chrétien
509920	Chiến tranh thông tin
2455453	FDP
71401	Charleville-Mézières
29a324aa2eac6a8a595098a17c4352c9	Afonso de Albuquerque
867672ec7f5c481d37d65c38409c07dd	Cochinchina
3681697	Sơn Tây
e182962ce702ae2a2c080f092fc8c681	Chính phủ hỗn hợp
416756	Bảng xếp hạng bóng đá nam FIFA
b7264c103ffb1cb050ba61983e764128	Thể loại:Thành lập thập kỷ 1640
a486cd07e4ac3d270571622f4f316ec5	2152
44785	Con đường tơ lụa (định hướng)
142833	Chiến khu Tân Trào
270624	Bregnano
521463	1578
d942c748361f2fe2d46bc3f0ceab7334	Cadmium(II) nitrate
82566	Lý thuyết số
1643723	Cao Lăng Úy
baad3c59f5536e6108ff8e31e71c1760	Deoxyuridine diphosphate
3131331	Giovanni Gabrieli
2260969	Carl Bosch
2804	Hoàng Hà
417e5075106b681c8486b76e7efb09e3	Bedstemoder
499164	Hoàng Lê Kha
edbc6e587bfe0379a132212f6a253719	Thơ ca Nga
166165849af29b0655acc9a05aeb00c9	Chu Thiêm Uy
14c7c30ff74cabb9fd7bdc13c610188b	Aleksei Petrovich
529973	1305
3121683	Cuộc di cư Việt Nam, 1954
183191	Trừng Mại
2286268	Cửu Hương
3372682	Chiến tranh Tây Sơn-Chúa Trịnh
3569437	Santarém (quận)
1279666	Thập niên 230 TCN
2425163	AllMovie
230527	Hoàn
d12b2aa754d50302f1d9866e446f3426	Abraham Fraenkel
107341	Jean Lannes
67350fc58238f0ca71a7e3233feb359a	A Mẫn Đạo
2f4f633bb9da10eb2543e79cba6b972a	Albine de Montholon
6f2d467699120cd6e06e9d78bc4c51bb	Hạt San Joaquin, California
beeeb817876a19c0bf4930799a0fd2d3	Châu thổ sông Hằng
234216	Lê Duy Khiêm
3180497	Khanh sĩ
76aa7a7fb680a4a69e36265b2d238534	Kỹ thuật môi trường
149734	Băng hà
112145	Chi Tô hạp
0c49eb308014e2cb5e3effbd5b7f4b24	Tháng giao hội
bdbf3f7b03b2827711701796c3442755	Bocce
1589196	Công tước
3265900	Nihontō
370452	Nathan Söderblom
186563	Đại Nam thực lục
3501	Tháng mười một
69687	Công xã Paris
d4dc5cd2b911c1dff6a327245a005b55	Thể loại:Kiến trúc thập kỷ 120 TCN
55394	Bò
1ba181a25a2c5920feade89b963b1830	Cục An ninh Ngoại giao
400493	Cher, Centre-Val de Loire
555856	Guccio Gucci
86d7d59e4328eb0d71814c2046e433db	Ahmose, son of Ebana
880414520c3b18e8c5b934a84478ad7c	Carnelian (color)
d525dc095bc2dd8995e30481c56c99c3	Chính trị Albania
91c96f4ee2682abf0e639d7a42174282	Gnaeus Pompeius Strabo
aacd88d638cd8e91a568cd3765dc0d45	Chaitra
edd546ff8c1a58e464c08b1bff02d3a8	David B. Henderson
1643869	Giang Đông lục thập tứ đồn
e77bd096ca6cbbba3e8be1c4cb758bf3	Chào bán cổ phần lần đầu ra công chúng
6ff55543d29bfac85326412c3acc117f	Ayesha Jalal
5e7108536ce21f10855dab4b012ce9ee	Bản đồ Synop
507731	Bố Chính
43a9a8b7000f2333b73828796bac2e3b	Matsunaga Hisahide
9764c96ca4cd8e3010e21b173d18a66a	Aboisso
3189274	Ban Chỉ đạo Tây Bắc Việt Nam
441e58bd1b45eeb57a572570415b9a78	(47171) 1999 TC36
806628	Kinh tế Việt Nam thời Hồ
3642384	Augusto B. Leguía
60634	Hexan
1101689	Bình Nguyên Vương
3349266	Canopus
3146729	Lịch Gregory đón trước
214376	Giáp (huyện)
41c6f1d940c44d597b28c5a7302fdb03	Hai Sicilies
1243911	Dũng Liệt
772392	Alassane Ouattara
532871	Andrei Okounkov
be324d56f000ba54ca40fc066506fc33	Trận Hà Tiên (1867)
2411961	Sữa đậu phộng
1189657ec0c217712024e5c622d70e90	Con hổ vùng Powalgarh
84beb304e31f62a9bf50f97f86e99ae9	Bahonar
1243211	Chiêu Lưu
86039	Gia Định (tỉnh)
24896	Tự nhiên
253998	Tổng thống Ba Lan
53759	Thể loại:Sinh thập kỷ 1710
9e9fca464d254073834bae3bfddf5b0a	Danh sách chữ viết tắt cũ của tiểu bang Hoa Kỳ
578305	Thập niên 1730
01065955e5d48562ab7dc8ce0f340488	An tần
71a10ef36ec393aa876aea621a9ba2e4	Danh sách người Kansas
a0dccb0ba2b50d84245d30dad465afbd	CDT
3f6a7e05bcac8ea35f4de1c993007dbd	Chiêu Chùy Biện
172865	Bàn Long
389cc9a710b5b6c243e2493f2e423a37	John Sparrow David Thompson
1251673	Phú Thuận, Huế
815227	Thủ khoa Đại Việt
273217	Google Books
237c6de59ba2df3f15db6a0d31e3ad04	Danh sách các bang của Brasil theo diện tích
8e5411bd1e79d492a507e37731b4c5ef	Arena Sardona
f8226dcfcb47b6f7d57652a55993ee4a	Holden Furber
90460	Cầu Cần Thơ
f54b2fba0b6c444aca25d254acac6265	Bắc Việt Võ
8aaf958ff84abc0affb2d4bb29b177ad	Thể loại:Kiến trúc thập kỷ 1330
407160	Nhạc cụ
f4979c67fefad7706cafa038906f8044	Bảo tàng Khảo cổ Quốc gia Athens
a3ef97717b9d239625e4eeca9bda8669	Carthago Cổ Đại
e452b9d701c48f93e73b42beaaed6e87	Quốc Dân Đảng (định hướng)
b21785193d9573da87d47e31599dd769	Asa Hutchinson
3286580	Kim Il-sung
20617	3 tháng 11
8d779493381a7f94250d098d9b0e7d89	Miyabe Teizō
ff855d7aee08cfa63994cd53ae16462f	Cumings, Bruce
c258a9d514f48599dcb528ffd2cd42f5	Bernardo de Irigoyen, Misiones
3299529	Chiến tranh Ogaden
37520	Ethiopia
109985	Chương Châu
3170065	67P/Churyumov-Gerasimenko
0a87257e5308197df43230edf4ad1dae	2190
67513	Luzon
3645956	Bắc Dakota
b6e61abfa2479491213706e968cec4ea	Mã Xuân Hoa
2393242	Archaeothyris
12865	Dặm vuông Anh
413431	Feldberg, Breisgau-Hochschwarzwald
529380	1697
530570	962
ff60a72339c47488efe8411380093877	Frederick North, Lord North
e92e685ac955c9099a2c36bbd28bb73b	Bút ký
5a348883454e650690d7184e31795644	Jacques Gaucheron
358681	Gescher
05a1c5d4669f49a05ebca5c590667416	Chu Lâm Nguyên
503613	Bình Thành, Đức Huệ
145807	Khu vực vịnh San Francisco
53773	Thể loại:Sinh thập kỷ 1770
57155	Lỗ Tấn
2c423e0c1d3876f6c0161f90345b71de	Thể loại:Phá hủy thập kỷ 70 TCN
120972	.yt
360753	Khmer Krom
fde0002f6f7c5c789dc9e54d9ebe2ab0	Chính phủ Liban
92725	Nitroglycerin
107041	Bách Sắc
e9c2348aced67648fb876fbce961af72	Thể loại:Sinh năm 1820
e86eb1191766ea455a67c20bf3d5b7f8	Gnit
532110	414
182952	Thể loại:Mất 202 TCN
9afd53769b08f5a51fb60994a303f413	Thể loại:Thành lập thập kỷ 1760
95229e51f13fac38a8564bc0945c3ce2	Alexey Antropov
555274	Xuân Giang, Nghi Xuân
ada5c624f3840562b85491aeafd32da7	Thể loại:Phá hủy thập kỷ 1910
876b4190f314e130c230346ca34ea576	Bahá'í Faith
1243487	Diễn Bích
184627	Dushanbe
d5835633c508be9d9aef5f9167d498b1	Modle
1204b843dbe0953391b3c65cd0c52882	José Balta
24349	Ca dao Việt Nam
3381	Thiên Chúa giáo
923ea79391f6089d37b234a06b93f3e6	Vòng eo
3689341	Cưỡi ngựa
1407876	Nguyên Xá
2260074	Hermann Emil Fischer
265772	Calderara di Reno
476c9a90087a27ed39fa1b5227953036	Đóng đinh
dac0fe3353ec026156bf707f94bcdc2d	Chemical biology
a2e489ba6d8c8a54c276af8f37c9943a	Ex officio
3256334	Alessandro Manzoni
cb6a2f5336749024e4032bc09ada84f6	AIDS tại châu Phi
94e048ffe63193f9a771054fedf5b7a7	Tú tài Nho học
fb7ce0b08f8a6e98c6854e6b9e5f568a	Do and Dare
785705	Flavius Aetius
472173	Chủng tộc
1251886	Phương Tú
564126	ArXiv
13b73cd9c2619fd5d907fa17b2bd181b	George Westinghouse Medal
16565	Ethanol
107937	1953
6a942ace4fce7aaed7c35959a4370d41	Hội hóa học Hoa Kỳ
64f721a2dc6d0e9cc3f84fd7461baed5	Tôn Thất Hội
096a334c66d8949e3afcf82bee85fdb1	Bãi biển Clifton
3683928	Chia động từ tiếng Tây Ban Nha
120836	Eyvind Johnson
1fd7701ec207734df74101491f865b27	Thể loại:Thành lập thập kỷ 140 TCN
421632	Ilmenit
3366710	Lê dương La Mã
6a2e9ce68c020f8e64d654825a5a2f4b	The Nutcracker and the Mouse King
72de7b910bd57825760e8ada6454d5aa	American Revolution
d6cc1514a7b6bdf1c0fb939cca98ccc8	Bispen paa Børglum og hans Frænde
45500f83d085ab0be1f9b74d3caae6b7	Xbox Live Arcade
28024	Công chúa Huyền Trân
1241833	Bình Hưng, Bình Chánh
530513	1501
3274900	Carl von Linné
571346	Bộ trưởng Tư pháp Hoa Kỳ
d29a7d9a31686c05b97ee746930af426	Banco Nacional Ultramarino
6e183a2bbba0c7465f1429b4ba38d336	Brunate
103940	Bàng Đức
3679063	Angola tại Thế vận hội
12214	Tuổi Trẻ (báo)
15644	Hoàng thành Thăng Long
231910	Trường Thuận
3635347	God Save The Queen
22d2ea05cc7398354ee953107dbb9611	Chiến tranh Nga-Thổ Nhĩ Kỳ (1568–1570)
1d6079a4287f89fb6342736db43a52b7	Biatec
1714c9d021c86acb7fa0f8decab6e383	Hồ Albert
aaf35b554be12c503f23b23d148f65a8	Bir Khadem
5a99e7e14b6470efa55a3c2d7c6e65f7	APEC Malaysia 1998
408684	Hán Bình Đế
529936	1271
540761	189
1296533	UTC-5
90299	1965
21f0ca2c17750c8e6ac4e16ea90442ad	Brea, California
d30d31ce47c2676ba3f53830e84778c8	Hoàng tử Carlos, Bá tước Molina
821bbe7c9a2ee334b59036e83fe58571	Belisong, Antique
3e0c23daac9ebc5f79d3a2c4cc4df2f7	Dấu ba chấm
921e57cad05875fdeaa64481adaefb63	Viện Carnegie ở Washington
528889	1730
2452594	Kí hiệu Hermann–Mauguin
528917	1751
384338	Ryanggang
524089	Hỏa (Ngũ hành)
5a3617ac72d32e44e0202844de3262c8	Antinomy
b68db9b5e54b3aee7a45b8a437550862	Hành quân Telic
e2a353bef89c5cb4c6083b0735092afd	Heinrich Wilhelm Dove
bda804825f187c7e7bf3082357122e8c	Antoine-Joseph-Eulalie de Beaumont-Autichamp
fc12561b498ca59dae195ad805bb8a4a	Francois-Isidore Gagelin Kính
524246	Bộ Rùa
32adfc14f74f53471285037d512cf994	Body piercing
20347	20 tháng 6
185200	Si Ma Cai
eaf250839769872e22cf9931d686f083	Estudios Cor
2fec6deabb14753b200b7317f6614943	Liêu Trọng Khải
529181	1545
501bd2797e65798a6ce82e45d02ccf03	Nicola Zingaretti
16353	Harold Pinter
41162	Chùa Thiếu Lâm
3290360	Cách mạng văn hóa
604a98f570bc1821899fd6c0ee8bad01	Bank Street (Ottawa)
645637	Hồ Chí Minh toàn tập
7cd56fa813abda6c0c42aac4490a7b0a	Arkansas metropolitan areas
44451	Đại Cổ sinh
114155	Hoàng Nghĩa Phú
4a7d6687937086300e0c8d3e4694b686	Hàm số elliptic của Jacobi
528897	1738
8450	Kinh độ của điểm nút lên
146355	Trận Gettysburg
82763f75a919879ae910f76c201815b8	Director-General of the BBC
2444813	Chế độ đạo tặc
147821	Bộ thủ
d71f4ec35cb649311180d90b278abc13	Thể loại:Mất năm 1840
32581	Xoáy thuận nhiệt đới
249042	Ba Cụt
795937bd66edd3bd24e3a61fdc1ca8e0	Công viên Algonquin
27353	Giáp Dần
34151	Cầu Long Biên
1221783	Chu Văn Uyển
296222	Alborz
c426f982ff5f6a781e4dcd54cc5d28b9	Wat Ek Phnom
53000	Claus von Stauffenberg
71396	Digne-les-Bains
232788	Hồng Hoa Cương
2bf179c96cc49b2cec764c2dd616b5e0	UTC 3:30
3a569e1911c7be16b1cca466e3edcbbd	Chạy trốn sang Ai Cập
ac83db54e43591396ef7c40fe647f155	André Gorz
530016	1187
3012	Kinh Dịch
53035	Alexander Đại Đế
822434	Giáo dục Liên bang Đông Dương
10887ea07e6820786e7cd50d25939fae	Bindi (decoration)
1522509	Hương Gián, Yên Dũng
e387442ae15f39402daddc79cede76db	Lídia Jorge
528895	1736
3209148	Liên kiều
31851	Thế chiến thứ Nhất
a92b471e79a0a4eedbf60f86b278282b	Bảo an binh
6b876b82ba165beba8811428874c5375	Ba Thắc
be417975b766eca230a50af76d7714aa	Biển ven bờ
109049	Emily Dickinson
5a3c0d7347d6738b1d2cf335f291d254	Công nương Elizabeth
