63096e84897868d4d2c84009096589b3	Arabinoza
d3bd76bcc7dcf6ca5ce4752cfce4bf0d	Dự báo trong kinh doanh
63966	România
391980	1811
1107455	Nữ thần Công lý
61837	Linh cẩu
530512	1500
42742	Australasia
68a4a8c5de913c38eaca6d0b8af937ae	Ghosts (play)
55a689dc7a9f39a92e75a10b0178442d	BBC World Service
528879	1725
3d923e5e27a7e75ec8603cf1a28e42b4	Tả thị lang
6bbf55252cf062fea955c946617168f2	Chiếu Lên Ngôi
571691	Hổ Ba Tư
262f9708822ff7b70318f556e7b1c35a	Thể loại:Kiến trúc thập kỷ 1890
73991	Avranches
53794	Thể loại:Mất thập kỷ 1860
26	California
243007	Chiến tranh Napoleon
20523	16 tháng 9
119336	Bộ (sinh học)
1331364	Đồng nhất
529199	1559
20d8245d2aa93ab604a65435f373079d	Erard
2f3096cfea163085f88f73b5ee6713c3	Binh đoàn Pháo binh Ngự lâm
b6c5c79a62f7daeb60f24ea60aa0bfb8	Jah
de71927ebca810337e0cb8b25306d4ce	Cem Sultan
408364	Thiên niên kỷ
8b2bba679efd1e6bc2fc4346887e8c65	Horta (Azores)
6288ce0f4354b6cd03bd307adc32f7bb	Bóng bầu dục bảy người tại Thế vận hội Mùa hè 2016 - Nam
57683	Thiên niên kỷ 1
811908	Contagem
9757312573f680df662061d5bdee193c	Ban Đệ
209675	Asen
31431	Luân Đôn
820012	Chiếc lá cuối cùng
2645da58889aec2821541ec7c3dae7f0	Liên minh Tự do (Ba Lan)
c6d34ed5669bed5f77a3ce1b85b7487b	Truy nã
cbcec64e07666dd672e70950637e0361	Bồn địa Địa Trung Hải
41903	Anhinga
108545	Bóng đá tại Đại hội Thể thao Bán đảo Đông Nam Á 1967
10714	Hàm lượng giác
3099398	Bang Geneva
3268159	Liên Chiểu, Đà Nẵng
316385	Bệnh viện Sant Pau
29063	Do Thái
529235	1623
578312	Thập niên 1670
6ba7dbcb675d2c95833b00862b31bf67	Chiến tranh giành độc lập Nam Mỹ
d40a4319aba54448b4993ff5bb32cde5	Hệ thống mã ONS
3684039	Thọ Quang, Sơn Trà
37766f47016451671d68e8e3ba069276	Coat of arms of Acre
22581	Adam Smith
28f5779f9a53bb94fb5c12fc1be750c3	Nhỏ hơn hoặc bằng
1269091	Giáo
1267032	Chủ nghĩa dân tộc Trung Quốc
117293	Horatio Nelson
7537646	Ban Nội chính Trung ương
529348	1683
2440867	Dương Phụ Thanh
40395	Canh Thân (định hướng)
93c656867ebc11b086fe1a2423b9a1b6	Edinburgh New Philosophical Journal
411432	Duệ Tông
49326	Thế kỷ 13
41bbd10da0eb421eeadf594cbd6d14e0	Hiệp định Hubertusburg
3132937	Hoàng tử Philippe, Bá tước xứ Flandre
578304	Thập niên 1740
11960	Thập địa
182782	Lịch sử Iran
213454	Hạ (huyện)
270626	Brienno
761838	Vương quốc Phổ
294599	Boumerdès (tỉnh)
571fc6bd9745ab569c27ad39800f7b18	Ataraxia
e0e305997527663b02f21dd2bc63f8eb	Haemus
7feb2ae6e236561a176fa57859b294f1	Lục quân Ai Cập
478996	Phẫu thuật
73180dbfc36779427c784445e2eb7621	Emil Nobel
3658712	Ajvar
528934	1767
1201463	Nhà Lê trung hưng
4f2cdbe8b7b4c6b67bde16d1af7bc470	David Stove
3443	Thứ Bảy
91690	M4 Carbine
a1441fb662d2e68dc070bd4b3ece195f	Henry Thomas Rainey
901ba238c529c73370feddc36596a377	Bóng đá thế giới ngoài FIFA
887453a9d10bd421323a1736749b04ee	Thể loại:Kiến trúc thập kỷ 50 TCN
7a0c16de64ac1d8140298180312a858c	Azerbaijan First Division
85818	Hương cống
2440721	Lưỡng Quảng
107812	1904
20066	3 tháng 1
e9dce02a3c28f1b08a731636a142fca9	Aristide Briand
29163	Chúa Thánh Linh
529008	1616
3157029	Charles Jules Henri Nicolle
800348	Tòa án Hình sự Quốc tế
11200	Kon Tum
3138	Ngân Hà
529399	1602
135540	Athens
461433	Argouges
75071	Kraków
92d1861264c90365fc272045e764e1e9	Jacob van Neck
1279655	Thập niên 120 TCN
1001	21 tháng 4
022de8a5607a1105efe4bca6b29492ad	Ngày kiểu cũ và kiểu mới
c5788742779f7080daff0ac629e979a5	Chiến tranh Berber thứ nhất
3647	Can Chi
79e0dbe7445844e8b4aa9f82518e64c5	Gaëtan Van Goidsenhoven
7f7241042425308f7baebbd6f1bf4c22	Thể loại:Phá hủy thập kỷ 1740
259605	Mohammad Khan Qajar
21968	Đông Kinh
2be30be41fc8933021a752a418a6aff2	Bảng chữ cái Tiền Canaan
8ec6de7678230eb00d4fad25289f6940	Illness
544104	Nguyên âm
92953	Triết học khoa học
882b1e7f4e3bda1377d67d0886c153db	Bóng đá tại Thế vận hội trẻ Mùa hè 2014 - Nam
6fd47c37e656bae8fede46c06829b5c4	Các ngôn ngữ Judeo-Ả Rập
246603	Biên niên sử Giáo hội Công giáo Rôma
70ab9a82c01281e63ca00183ceddbda2	Thể loại:Thành lập thập kỷ 1540
530823	850
29e58f2b8ede01197bca104a1eb45bce	Bản đồ T và O
b86f7c9dc1046b6ba8a0de3b7ea9e0f4	Tôn Thất Huy
529778	1346
71455	Thế kỷ
22cdad3d83c67e8daec5e1c133a06f7d	Manon Lescaut (Auber)
8241c738db12ece7f2020351c7e9fc38	Boomerang (Ý)
3201080	Ibrahim Mahlab
12732562	Tin Lành
27309	Giáp Tuất
a7908eedb7cd45c0ea47c37f70d1f74f	Danh sách hạt phi thành thị của Anh theo dân số
63469	1991
d9d40472f2eed7b7d72bac108c1ef57b	Berry
2793	Nhà Kim
822373	Glens Falls, New York
42e029244bb08d9d04670c618ff0c8a7	Arginase
a2aee11a1fa95d8b62cb8c07f77302dc	Christophe Prazuck
9712039d4f3e04e6249b6d6ee0365a52	Africa (tỉnh)
26f5822a990464f20f0a324dce523ae4	Ademir Kenović
3751	Công nguyên
3390617	Bar (đơn vị)
6127ae70302d7d70875a0fc940498610	Maria Amalia của Napoli và Sicily
529156	1515
79870	Antoine Lavoisier
c3730b220b5215d4d2da7dbb0d966abe	Bernardo de Gálvez y Madrid, Bá tước Gálvez
b8c4e407973cd4fdc70f80c7161a6641	Monroe, Michigan
332a4f2c0208c0e67e9054bab9bf4658	Chứng khoán vay trả góp dân cư
137452	Der Ring des Nibelungen
7460622	Bắc Ý
188095	Tổng đốc Lưỡng Quảng
f6ab8413fd0b8393cfe878606ebd1388	Abdel Aziz Mohamed Hegazi
797d92dfd2da04cfafc246d72c14f233	Carsten Frerk
370333	Việt Thắng
89449fe33527644585013f2e1f0964bb	Brooch
67e9d10dab85d0d75de82c6456daed1b	Arie Deri
459e5a54da8139ff620abf3655178ecc	Chiến tranh hiện đại
2463041	Chiến dịch Hải Trừng
530093	1136
139808	Lý Anh Tông
bae445707f6deb2a31da3b9c57634b70	Denver (Colorado)
193251	Ankhmakis
183314	Mecca
444653	Giáo hoàng Pontianô
6780	Nhà Hồ
33606	Cao Xuân Huy
320301	D.C.
50992	Hoàng Diệu
107227	Cờ người
255071	Bùi Kỷ
f75c359435c759755edb3931faeb33fe	Hàm số elliptic
528712	1713
56428	Cách mạng tháng Tám
2621	Tiền tố SI
53726	Thể loại:Mất thập kỷ 1540
529249	1635
109957	Cẩm Châu, Liêu Ninh
44012	Nhà Nguyên
132904	Văn Bàn
278060	Trung tá
2462753	Giáo hội Maronite
de69a14bfb6d1a730f7375dbaa256991	27 tháng tư
cdda45a4c1d1514b4753bbb2855fb3d8	Công cuộc sáng tạo
412061	Hematit
ef0c890c28376746ec6447bc3e815de8	Canebrake (vùng của Alabama)
42024	Nguyễn Văn Tường
a47aa088dd4a0f0e9c3b2c51dae5ee2b	Ngày 25 tháng 6
ff5d9c84e4e40920f9d3fc2d82999b8a	Avisa Relation oder Zeitung
1677190	Nguyễn Văn Duệ
24002	Humphry Davy
529148	1526
10405	Thủ tướng
259815	Núi Dài Năm Giếng
98fd9ecf7083220ba287daf18d193cc6	Caritas Tanjungkarang
474681656f4cc02009cb6627c9018720	Boghveden
2488	Giải Nobel
31734	Giao hưởng
20642	26 tháng 11
6a0914ea73143486a2695df6988d6362	Annecy-Centre (tổng)
3133466	Felix Mendelssohn Bartholdy
83869	Dự án Manhattan
2ded96caf12ffb6783234d1960b568de	Cờ hiệu hải quân
20175	24 tháng 2
36961	Piano
09ef1725ac5c130e0b6fe2ab489b9158	Thể loại:Kiến trúc thập kỷ 1770
529245	1632
3889d9d423476d85b9fe27b8efe6740e	Camporeale
12885	God Save the Queen
258556	Artvin (tỉnh)
528920	1754
102829	Bruxelles
55cf92a75dee32bf7dc3f645f7e67bc1	Basak
38318e7c177aa0e66b170aacc81dfd3b	Grand Prix de la ville d'Angoulême
107147	Ft (định hướng)
624d876aa75e46674df1c4249038764e	Thể loại:Thành lập thập kỷ 1780
64798	Ho gà
5d927eccaf7465f9f34d9863f6365bf8	Thể loại:Thành lập thập kỷ 1740
392242	1873
820005	Socorro, New Mexico
13921	Chiến tranh thế giới thứ nhất
3349385	Austen Chamberlain
1e42c82d4034813d152dfcaa08ecf630	Chylomicron
dff2ec7bda7a2cbcb7a9f86dc1b6f8a3	Faiyum (tỉnh)
6250cb3fd250b10176c3b73c06fd15ee	Edward Delaval
70920	Burgenland
306647	Budrio
e946531f16a152145b75a604b6d30b0c	Dojlidy
d6bbc223d79888faad6143265b9cfd74	Hiệp ước 1884
1585211	Henry VI của Anh
a5c9f1b2321dfb052668164e57a936d5	Chiến tranh giành độc lập Israel
fb227d14dc51c8a46551fcec4c18408d	Arthur Evans
1990	KDE
64517	Thư viện số
199f830c079401cf520fa6f5da132d5b	Albert Grossman
cced00d10c5cf8859a1e22453e3835e9	Annie Besant
20400	15 tháng 7
378887	Pyongan Bắc
803541	Ch'ŏngjin
3173715	Hoàng Cương
5d198b6e071e78cc39f0266437cc7028	Karel van Mander
8a527fa2958ed95ed709c38332600e5b	Nghiên cứu khoa học
330297	Allah
7a9898cb7f3af7748c5d77632eb0a329	Henri Jaspar
71935930d1866b78267e40353e87ca1c	Các vết tích của Quá khứ
ba66e621a990709cd47e75d10b8c648c	Bộ luật Hoa Kỳ
7526d2332287d2e160ee2668485f33bf	Henry Edward Manning
334411	Đào tạo từ xa
76466	Oscar Wilde
7eb8d7f43e353c5965dbd806aed10e40	Al Muaisem
1523344	Neo, Yên Dũng
36ab51dcc3a36285266df579e92a3096	1864 Democratic National Convention
1731662	Tô Thùy Yên
ec84db26d78a5dd643436814589c2751	Argumentation theory
c9067042a3eba024d36715b5ea1b07e2	Lịch Hellenic
820937	Norfolk
f5c633b4693da5096a5c0bf4c2ba2361	Florus
3e917dd437c9af3c2bb2b5211651f4ff	Carsten Anker
3208713	Hoàng Kỳ
186758	Giang Thành, Phổ Nhĩ
d7c2b0ec2a599daecf114b9fdfcd18b5	Sách Giôen
304116	Itabashi, Tokyo
20720	30 tháng 12
96768	Chủ nghĩa vị lai
865843	Va li
3427379cf3e47a5ca294afa6af865f2a	Cao thân nhiệt
8696e8569f62af816fd70bec0df83f93	Thể loại:Kiến trúc thập kỷ 1080
53750	Thể loại:Mất thập kỷ 1660
107942	1958
232633fcf5b3b47e8dd0acb555082401	Bộ Học
852	Anh Quốc
4490acee7a1ac906937a23dbf2a0bec1	American Heritage Magazine
249854	Abbas II của Ba Tư
f44de31fc1ee0e6cb7a3452c190d28b2	Ekaterina Dashkova
41662	Các Tiểu vương quốc Ả Rập Thống nhất
ec5d5d76886dcaf8e248c3596f233b05	Huyện Thanh Quan
273ab2d3a7cfeefd06740c79c244496a	Docent
016db5fe81ea353eba310852ea7def9c	Ion hóa hóa học
b81f8243043b4035736adf55cb47c17e	Black Belt (vùng của Alabama)
24498	Biển Chết
3164189	Hiệp hội Max Planck
3621	Sóc (lịch)
3d34e4d8f523a5d84ac7e9fc42675873	Chu Do Lịch
509920	Chiến tranh thông tin
119743	Capoeira
806083	Danh sách các đơn vị hành chính Chiết Giang
1582086	Chillicothe, Ohio
29a324aa2eac6a8a595098a17c4352c9	Afonso de Albuquerque
867672ec7f5c481d37d65c38409c07dd	Cochinchina
3681697	Sơn Tây
e182962ce702ae2a2c080f092fc8c681	Chính phủ hỗn hợp
541d19a3052d0997e72ea7e57f1321c5	ABDO Publishing Company
803371	Suwon
a486cd07e4ac3d270571622f4f316ec5	2152
b86a6b4eb2675aa98b7a63b568434502	SEK
29eae489348b261e4ca3450d8dee40fc	Friend of My Youth
57115	Thanh Lam
521463	1578
3191394	Ichthyosauria
74117	Cherbourg
cc2dd2bfadb2f75d19a0e2d96550c228	Flag of New York
0775516315dfb8ec1140135f59263456	1876 Democratic National Convention
62901	Phe Trục
2260969	Carl Bosch
b06e8968be1aabfb3fa7963f9f25f892	Phép đo sinh học
2804	Hoàng Hà
417e5075106b681c8486b76e7efb09e3	Bedstemoder
f9472400366e50b0e3aff6d54ff5445d	Chùa Kinh Thiên
24485	Claudius Ptolemaeus
1da5b98d68fab33a891a814176908c5c	Bắc Ireland (khu vực bầu cử Nghị viện châu Âu)
14c7c30ff74cabb9fd7bdc13c610188b	Aleksei Petrovich
529973	1305
130cb821149713abdffa29d132ce2220	Carl von Gersdorff
3e8b38defea644e06353867df41c7d2c	Benjamin Franklin Medal (Franklin Institute)
104948	Giosuè Carducci
310010	Hội đồng Quân nhân Cách mạng (Việt Nam Cộng hòa)
2425163	AllMovie
aa5eeb94641785022aa69b43c3771c76	Houghton Mifflin
72b4e66ba87a9394792fa15c82b9c1c9	Thịt ba chỉ
c01a9e896e328c51000b1cf5b8c3e374	Fukushima Masayori
234e47a81e7f106a67a9e9210c36e96f	Hoàng Phùng Gia
822664	Caxias do Sul
beeeb817876a19c0bf4930799a0fd2d3	Châu thổ sông Hằng
234216	Lê Duy Khiêm
1bc11fc0b2253c7386fef2d7da882016	Arosa
3257538	Ca dao
c58777c7918103f38c7e246e96af902f	Castelnuovo Berardenga
107048	Bộ Guốc chẵn
112145	Chi Tô hạp
141038	Billy Hughes
29111	Karl Marx
370452	Nathan Söderblom
44602	Kỷ Cambri
3501	Tháng mười một
69687	Công xã Paris
98153	Danh sách tiểu bang Hoa Kỳ theo diện tích
119271	Dario Fo
542910	August Neidhardt von Gneisenau
55394	Bò
106364	Lutheran
555856	Guccio Gucci
523962	Carl Jung
391971	1809
86d7d59e4328eb0d71814c2046e433db	Ahmose, son of Ebana
6c7be6dc4963fdb415dc6950751426ca	École des Sciences Politiques
91c96f4ee2682abf0e639d7a42174282	Gnaeus Pompeius Strabo
edd546ff8c1a58e464c08b1bff02d3a8	David B. Henderson
e7c0793ff876b8948cef9d735f48eebc	Chiến tranh giành độc lập Guiné-Bissau
90cd3b344fff3c1d102429c39547c719	Chu Khởi Nguyên
3349420	2050
20547	27 tháng 9
132105	Phú Lộc
3b1d9407230223eeb5881e0451432c74	Jellaladin Mahommed Akbar
514468	1272
3208471	Cúp bóng đá châu Á 2019
2dc27803d236310a8bb9470f52676249	Chưởng môn
3189274	Ban Chỉ đạo Tây Bắc Việt Nam
232560	Hưng Nhân, Quý Châu
3642384	Augusto B. Leguía
60182	Thiên long bát bộ
124947	Dược phẩm
6799	Dạ dày
faa9859f1b62c6dff844e709967ac618	Vương triều thứ nhất (cổ Ai Cập)
20375	2 tháng 7
1243911	Dũng Liệt
392219	1859
532871	Andrei Okounkov
0c10db8295afc48ebc09be99d26e6dfb	Công viên Quốc gia Pacific Rim
1189657ec0c217712024e5c622d70e90	Con hổ vùng Powalgarh
fc577359db77d32e4fea2fedbedf2eee	Bay thuê chuyến
1337280	Quận (Israel)
32972	Nhà Thương
2417978	Lê Ất Hợi
392217	1857
53759	Thể loại:Sinh thập kỷ 1710
9e9fca464d254073834bae3bfddf5b0a	Danh sách chữ viết tắt cũ của tiểu bang Hoa Kỳ
578305	Thập niên 1730
01065955e5d48562ab7dc8ce0f340488	An tần
77747	Tiếng Thái
96734	Công viên Thủ Lệ
3f6a7e05bcac8ea35f4de1c993007dbd	Chiêu Chùy Biện
389cc9a710b5b6c243e2493f2e423a37	John Sparrow David Thompson
26b1dce46c32c25ebe6b00863017730f	Bính âm Hán Ngữ
9501	Albert Calmette
815227	Thủ khoa Đại Việt
523993	Hồi giáo Sunni
923a2573904843a35d5b489771feb338	Khoảng 1427
610bd0bafcfa7e488f71534c027ddf92	Eastern Orthodox Church
228107	Cảng Nam
61841	Cá ngựa
33374	Cao Xuân Dục
f54b2fba0b6c444aca25d254acac6265	Bắc Việt Võ
23f291368c3fb0b83e37e5069ed08bfd	Thể loại:Kiến trúc thập kỷ 1610
407160	Nhạc cụ
9342	Bồ đề (định hướng)
f2ee6781d3a210192a707314398ca430	Astronomy and Astrophysics
e452b9d701c48f93e73b42beaaed6e87	Quốc Dân Đảng (định hướng)
1299	Giê-su
3286580	Kim Il-sung
20617	3 tháng 11
333389	Nguyên sử
479001ba84acde6d9e1644f66c30c1c6	Ali Saïdi-Sief
1242439	Bản Phùng, Sa Pa
416d7e0924a0b7aec5faa4a9a6369f2d	Louis Henri Loison
18582	13 tháng 11
37520	Ethiopia
109985	Chương Châu
9a842baaa32af17bc06e8c71a9d0f92b	Atlanta Thrashers
5ce102d510a7bfe2e91f54f39270ec4a	Chondroitin sulfat
529268	1648
107822	1914
543366c96f78aa4251158adb517c6866	Các cuộc cách mạng năm 1848
100744	Mạc Thiên Tứ
362418	Nhà Hán
3659798	Alcuin
413431	Feldberg, Breisgau-Hochschwarzwald
529380	1697
3134218	Lỏng
3aefc1990af022d3b178f7ee4bb714cc	David Oistrach
93873641bc820030678fac23ee15705a	Certosa di Padula
3389417	Dân quyền
85ba0258d8b5d84afbafe4f49ba6034b	Hệ cơ số 36
2424362	Địa Tạng Bồ Tát
05a1c5d4669f49a05ebca5c590667416	Chu Lâm Nguyên
505c5d0c94f231fa370959cdb00d27de	Cung Mi giáng
4aead1867adee6048de5bc0f5195ad8e	Weißer Main
137865	Bàn phím máy tính
53773	Thể loại:Sinh thập kỷ 1770
2c423e0c1d3876f6c0161f90345b71de	Thể loại:Phá hủy thập kỷ 70 TCN
120972	.yt
3392569	Chiến tranh Tây Ban Nha-Mỹ
146333	George Clinton (phó tổng thống)
fde0002f6f7c5c789dc9e54d9ebe2ab0	Chính phủ Liban
250074	1803
1743735	Tiếng Phổ thông Trung Quốc
e9c2348aced67648fb876fbce961af72	Thể loại:Sinh năm 1820
e86eb1191766ea455a67c20bf3d5b7f8	Gnit
110606	Hiếu Cảm
aa432abbb8f6a5792aea2ed78632fdc5	Khuzestan
532110	414
182952	Thể loại:Mất 202 TCN
9afd53769b08f5a51fb60994a303f413	Thể loại:Thành lập thập kỷ 1760
529155	1516
120477	Johannes Vilhelm Jensen
27ab45a2243ad5b7c9e485a26f7ccc19	Gnaeus Domitius Ahenobarbus
38e064ba2eaacc7c08ca6ad135ae80ab	Evita (phim 1996)
18333	Từ Hán-Việt
1200cb1964778744231de9680d495237	Caldwell, New Jersey
ddf820c34b6847c8d997e59095a969dd	Con hổ vùng Segur
33041	1975
430018	Huy chương Priestley
68617	Istanbul
64644	Cao nguyên đá Đồng Văn
fac991688448545215eb05a97255125b	Catskill Mountains
3240335	Dan Quayle
31840	John Steinbeck
2260074	Hermann Emil Fischer
2365678	Camellia callidonta
b97b01ad1a9155618ffb7cc15c2b36c0	Bonar Law
33c2a3b637ae1161ec6509ad72b54c4d	Miêu Nhân Phượng
3256334	Alessandro Manzoni
12469	Bán đảo Iberia
3471847	Chưởng cơ
785705	Flavius Aetius
7728181	Alexandra Feodorovna (Charlotte của Phổ)
aea1890fb5bf345238f8ba2ecce27869	Adriana Ivancich
472173	Chủng tộc
1c860a5c4920134730944f48b4297eb3	Continental divide
120460	Erik Axel Karlfeldt
397954	Alberto Contador
447511	Anrê Phú Yên
16565	Ethanol
107946	1962
107937	1953
19404	Huỳnh Thúc Kháng
64f721a2dc6d0e9cc3f84fd7461baed5	Tôn Thất Hội
120836	Eyvind Johnson
1fd7701ec207734df74101491f865b27	Thể loại:Thành lập thập kỷ 140 TCN
8af2f907572171857f6c0351044ba048	Huy hiệu Akrotiri and Dhekelia
b96bb4c90ea976beb64fd01af9d554cd	Optimas
530976	1379
d6cc1514a7b6bdf1c0fb939cca98ccc8	Bispen paa Børglum og hans Frænde
28024	Công chúa Huyền Trân
129294	Assyria
530513	1501
56f04c7f50eabf58b198159d1c3ba79c	Thể loại:Sinh năm 1888
11533874	Giao phối cận huyết
571346	Bộ trưởng Tư pháp Hoa Kỳ
48c2de498526a7bb925620b14b66f4db	Lịch Myanma truyền thống
1644812	Gian Lorenzo Bernini
3679063	Angola tại Thế vận hội
3635347	God Save The Queen
42115	Kansas
239961	Brussel
71047	Dordogne
540761	189
1296533	UTC-5
90299	1965
cb48efaae0c572788c6b0e926655dbea	Chiêm tinh đài
21f0ca2c17750c8e6ac4e16ea90442ad	Brea, California
59160	Alexis de Tocqueville
42720	Hoàng Minh Thảo
85825	Hành pháp
921e57cad05875fdeaa64481adaefb63	Viện Carnegie ở Washington
41678	Kênh đào Suez
528889	1730
528917	1751
384338	Ryanggang
118391	Franz Kafka
94381	Cách mạng tháng 10
293573	Biển Bismarck
43897	Chính trị
aa8fcaa4b0464e6983df8edcabe5b37f	Gaius Annius
bda804825f187c7e7bf3082357122e8c	Antoine-Joseph-Eulalie de Beaumont-Autichamp
327331	Lop Nur
49f1605fc4b4d63944492be8c12a84ae	Bamileke
1251535	Phú Hiệp, Huế
524246	Bộ Rùa
2764	Khánh Hòa
32adfc14f74f53471285037d512cf994	Body piercing
91115	Cuộc chỉnh lý tại Việt Nam Cộng hòa 1964
185200	Si Ma Cai
f8953a0e72796cca0f1b7a70fc18c5b0	Allen J. Bard
3162868	Danh sách di sản thế giới tại Tây Ban Nha
3693705	Papal States
41162	Chùa Thiếu Lâm
3290360	Cách mạng văn hóa
98110	Nguyễn Công Hãng
645637	Hồ Chí Minh toàn tập
7cd56fa813abda6c0c42aac4490a7b0a	Arkansas metropolitan areas
44451	Đại Cổ sinh
a38ffffb03924c601aa8ad34ebcc1183	Danh sác nhà cầm quyền Toscana
528814	1714
18d6facdcb56ec697d1ea5cc1348675f	Chiến tranh Pháp-Da đỏ
357805	Nguyễn Lượng Thái
8450	Kinh độ của điểm nút lên
82763f75a919879ae910f76c201815b8	Director-General of the BBC
2444813	Chế độ đạo tặc
d71f4ec35cb649311180d90b278abc13	Thể loại:Mất năm 1840
87193acb67c680be5ff924a48ae942b2	Johann Friedrich Struensee
3195248	Hiếu Khác Mẫn Hoàng hậu
20722	31 tháng 12
445462	Giáo hoàng Anastasiô I
1221783	Chu Văn Uyển
145286	Balkan
c426f982ff5f6a781e4dcd54cc5d28b9	Wat Ek Phnom
ae36911dda3e64a890588efbc748e2cf	Ban Chỉ đạo Trung ương về đẩy mạnh cải cách chế độ công vụ công chức (Việt Nam)
53000	Claus von Stauffenberg
343990	Bướm vua
76fa11d6d5e83457ed4f5885f27795fe	Phạm Thế Húc
1665ff081a7e700e1a13559a27ec1595	Cục Bảo vệ Nguồn nước Hoa Kỳ
45917	Nhà Minh
95970c94f3645b59aade374b6bac3438	Đảo Kangean
530016	1187
529383	1669
4f9a9c7c9035eafea67c84abfa455a44	Dân tộc bản địa ở Hoa Kỳ
2217949	Huy chương Copley
219190	Dư Diêu
f1893f417a59ac093bca58a7ae126ed7	Beech
528895	1736
3209148	Liên kiều
7106bc0142f21e86cbf45a4456c798ec	Khởi nghĩa Serbia lần thứ nhất
6b876b82ba165beba8811428874c5375	Ba Thắc
400c53ea330ddaaeb4e1d2fb73d83190	Khóa lưng
448237	Giáo hoàng Ađrianô I
109049	Emily Dickinson
5a3c0d7347d6738b1d2cf335f291d254	Công nương Elizabeth
13460	Chứng nghiện rượu
1614830	El Escorial
3509576	Tham tri
0c7544d362e14531521ef09e6a3392c1	Leamington, Ontario
ce23bd6aebc90e9b052ed485032e8655	Burschenschaft
392200	1850
24ad1e67d647ac4298a09c0b3a4aa5b1	Bệnh tê phù
457276	Giải Rolf Schock
543021	Chiến tranh Nga-Ba Tư (1722-1723)
529239	1627
b2c234226af483e9361ee5df77429238	Carl Fuchs
186086	Phan Xích Long
85082	Phạm Văn Nghị
7505339	Dextrin
152992	Alhambra
70023	Cấp sao tuyệt đối
35e88473c69be79e244748e6a3afac50	Diễn xuất
63728	1980
1988	Cambodia
5350ca538319d669119e3d643cb6b09e	Domingo Elías
60633	Aniline
120250	José Echegaray
c9c32d3ce28a337e98ffd1d0b8f3ce80	AlterNet
ead2a02e83f96b404cbe34d40459c86c	Lạc Diệu
57895	Đại học Quốc gia Moskva
107923	1937
d895f4a0718415d395a8bf83cbbd88ab	Anti-Sovietism
acab424a1dfdbab93124f4c762fd80d0	Charles Colle
11495463	Hoàng gia Nhật Bản
477465	Novara
42725	Máy bay tiêm kích
17d9a2f68d5992b6d4eb34bf1474520f	Constable
18af128333d7169409a7ca2e14461a6f	Phản cải cách
90847	Bảo Bình (chòm sao)
20129	4 tháng 2
92637	Belize
27308	Quý Dậu
1260600	Bridgeport, Alabama
2f9005b7034a9e0bcbeb69bd83677fbc	Biblical Archaeology Society
3367448	Chế Chí
578436	1608
189546	Allah Peliharakan Sultan
1251859	Phường Đúc
0d6fb562d0f5f7c677c94d3ddd40f4f0	Genomics
a6dafa12613c8d368c51391ddc4fc083	Abu-Musa al-Asha'ari
409860	Georges Clemenceau
