1519217	Curitiba (định hướng)
476c9a90087a27ed39fa1b5227953036	Đóng đinh
dac0fe3353ec026156bf707f94bcdc2d	Chemical biology
a2e489ba6d8c8a54c276af8f37c9943a	Ex officio
3256334	Alessandro Manzoni
8a527fa2958ed95ed709c38332600e5b	Nghiên cứu khoa học
fb7ce0b08f8a6e98c6854e6b9e5f568a	Do and Dare
785705	Flavius Aetius
472173	Chủng tộc
120460	Erik Axel Karlfeldt
107937	1953
64f721a2dc6d0e9cc3f84fd7461baed5	Tôn Thất Hội
3683928	Chia động từ tiếng Tây Ban Nha
3366710	Lê dương La Mã
6a2e9ce68c020f8e64d654825a5a2f4b	The Nutcracker and the Mouse King
65b9d6667fc166ced29b80a5f68a739f	Chứng cuồng
d6cc1514a7b6bdf1c0fb939cca98ccc8	Bispen paa Børglum og hans Frænde
16828	Mã di truyền
87694	Bách Tế
571346	Bộ trưởng Tư pháp Hoa Kỳ
d29a7d9a31686c05b97ee746930af426	Banco Nacional Ultramarino
397641	Hòa ước Thiên Tân (1885)
b3ca069cb6e67e658689b85476ccecf3	Cúp bóng đá Síp
12214	Tuổi Trẻ (báo)
15644	Hoàng thành Thăng Long
3635347	God Save The Queen
1d6079a4287f89fb6342736db43a52b7	Biatec
1714c9d021c86acb7fa0f8decab6e383	Hồ Albert
5a99e7e14b6470efa55a3c2d7c6e65f7	APEC Malaysia 1998
1522509	Hương Gián, Yên Dũng
1761192	Định danh PubMed
1296533	UTC-5
90299	1965
21f0ca2c17750c8e6ac4e16ea90442ad	Brea, California
921e57cad05875fdeaa64481adaefb63	Viện Carnegie ở Washington
e94e1c7509db3bb14a7b5032c211af2d	Maecenas
6af948447aaf9ca9a21bad4b6ca68751	Campi Flegrei
11194	Cà Mau
bda804825f187c7e7bf3082357122e8c	Antoine-Joseph-Eulalie de Beaumont-Autichamp
aa2c3eca8d6e70eb0a236aed3045ee7a	Chiến tranh phi quy ước
119047	Hạ Hầu Đôn
16353	Harold Pinter
3290360	Cách mạng văn hóa
6abae0dc82a9284b5a511aa3b066cdc9	Henri Carton de Wiart
7cd56fa813abda6c0c42aac4490a7b0a	Arkansas metropolitan areas
44451	Đại Cổ sinh
114155	Hoàng Nghĩa Phú
ba8816717f986afaa737228c1a16f7ff	Bá tước Foix
528897	1738
2444813	Chế độ đạo tặc
147821	Bộ thủ
d71f4ec35cb649311180d90b278abc13	Thể loại:Mất năm 1840
32581	Xoáy thuận nhiệt đới
249042	Ba Cụt
34151	Cầu Long Biên
ca8f97088ebf477277a136020c4d721a	1928 Democratic National Convention
2bf179c96cc49b2cec764c2dd616b5e0	UTC 3:30
3a569e1911c7be16b1cca466e3edcbbd	Chạy trốn sang Ai Cập
530016	1187
2a49daaad7d43d25d073566c67a10cd7	A Tế Căn
e387442ae15f39402daddc79cede76db	Lídia Jorge
528895	1736
74caaaae1b5f99e13d7ea7febc6213ec	Arena football
31851	Thế chiến thứ Nhất
be417975b766eca230a50af76d7714aa	Biển ven bờ
5a3c0d7347d6738b1d2cf335f291d254	Công nương Elizabeth
1614830	El Escorial
0c7544d362e14531521ef09e6a3392c1	Leamington, Ontario
146675	Joseph Hooker
75003	Joule
543021	Chiến tranh Nga-Ba Tư (1722-1723)
3280732	Christian IX của Đan Mạch
578353	Thập niên 1360
113361	Trung Ngoại Chu Gia
63728	1980
213126	Hoài Xuân
573789	Tokushima (thành phố)
13340	Văn-thù-sư-lợi
570234	Adolfo Pérez Esquivel
7772	In màu
9da0c9c5d6098608c5fd9912535005b6	Bạch Đằng (đường Hà Nội)
3668156	Danh sách vùng đô thị châu Á
92637	Belize
578436	1608
189546	Allah Peliharakan Sultan
322110	Brescia
647966	Dolomit
87681	Quân đội Việt Nam Cộng hòa
2bc567457304e5d5b9d96dee7d1cc382	Bão Do, Lạc Đông
814914	Carl Wieman
294577	Aïn Témouchent (tỉnh)
231225	Chùa Vĩnh Tràng
f2ac08673bd4f037dfa360814209d710	Bà Tấm
8d7d9c2866220b95ea3e22ceebef373c	Chigil
41725	Ngô Văn Sở
8b08cbd01a1f42426443c13c3e539b2e	Lê Nam triều
e5636ec2024c3184a0ac79e0a2c49a0b	Châu Âu (quốc ca)
cb5076d12acd1c670c950957768e6c1a	Thể loại:Kiến trúc thập kỷ 140 TCN
de203180df285ade1d06c8c8c5b41671	Phàm Bá
679c20e498f045a9466f42b99ea53763	Aventure Malgache
2339696	Dân tộc
aa79e551e9e3e78e5b389f87004b3f06	Epidaurus
94180	Chùa Tây An
403121	Biển Bohol
232843	Du Dương
c792049559013aa43a0910a8278b2433	6 Tháng 6
bdc88a91625eb20784b837bd7e7dcbf7	Anthony Jeselnik
2327956	Hợp chất cao phân tử
640f6dedcfb4bdec1a3c21c5ed6dc4f2	Infante Felipe, Duke of Calabria
596024	Danh sách chất dinh dưỡng đa lượng
792913	Bessarabia
625847	Ahmed Shafik
416500	Lê Do
70990	Hệ sinh thái rừng
31817	Người Việt gốc Hoa
1252996	Thăng Long, Kinh Môn
3718062	Hotan (huyện)
1242107	An Bá
340669	Ainharp
57358	Hùng Vương
486a5f6dfd74e0c087a02184b4da653d	Antonio Soler
725016	Willemstad
aebf66d5f6ed51960e415a0da81b3186	Mpeg2
65575ea6d8b1835947da82e24ea5e3d2	Berry Islands
361205	Fuente Álamo de Murcia
281723	Avranches (quận)
f3b5df10c698047c5cf75d744126d7ac	Fullerene chemistry
1249946	Kim Tân, Kim Thành
f07fd5c1013a1fdaa4a56f4cef12b539	Giỏi nhệch
530084	1147
1249412	Godavari
31745	Vành đai tiểu hành tinh
20623	6 tháng 11
6f31704e19ca8fff143cc8f8f536b42b	Bremisches Conversationsblatt
24619	Đường tròn đơn vị
40596eb075203869bcf0567c5442f51f	Chá Lâm
57686	Thiên niên kỷ 3
0f70cc816e9450511cfbc5f45f25ffe4	Thể loại:Thành lập thập kỷ 80 TCN
87329	Huân chương Kháng chiến
91b940884cc9a0775aeccbf230d17789	Huân chương Bath
998bfbc9524f0bb1a37d3313bf08b6ec	Tuyên thệ
1680307	Bukovina
234217	Lê Duy Kỳ
814840	Arañuel
af8368d030e53900c2fbc4ba1a33b258	Manthani
909d6931b9de8786908a6278cb94ab12	Boa Vista, Cabo Verde (đô thị tự trị)
53624	Thể loại:Sinh thập kỷ 1040
813599	Cánh đồng
2e9c09191a193468230f256b50ae8e6c	General Lagos
016f37098b0e92e089663913d322642f	Fabian von Schlabrendorff
4a6f7fb40ff525d3059bdf9cef4b62aa	Joaquín Sorolla
3e1aed57bd98d18fdc4b057f5aa12da1	English language
82916	Johann Wolfgang von Goethe
191625	Charles De Gaulle
191774	Đoàn Minh Huyên
4e066881b834ee502ad345af225834f3	Jean Barnabe Amy
103707	Gió
12789512	Đức Quốc xã
37066	Xe tải
23845	De facto
3102553	Nguyễn Phúc Phương Liên
395d131155c432b9483e2fae71eec979	APEC Nhật Bản 1995
2462341	Silicon Valley
81563	Kẹo cao su
1522814	Lai Vu, Kim Thành
21944	1972
360921	Chia rẽ Trung-Xô
7501170	Tạp dề
116918	José Saramago
255485	Biển Chukchi
227720	Tú Phong
fd93081a8ed625835a731c575802ce20	Coat of arms of Carouge
247136	Giải Man Booker
840912	Tỉnh (Việt Nam Cộng hòa)
59aacb2416176086454e42fb61ad9322	Fujiwara no Shōshi
3277097	Kinh Thánh Do Thái
0684de0ce1e6501479c578017d8b30af	Danh sách giáo hoàng được tuyên thánh
98101	Sông Đồ Môn
db333364c774afd375fd004c8d2efa27	Betty Williams
dab625da5b54a77cf3a5cae933021546	Panshan
b1f56a211798f134d0155f06e18183a5	Julian Huxley
529586	1572
a343c8905292ea98c6e2473b14691e26	Hồ Chí Minh học
0262c504f153abc4f938bdce535e207e	Châu thổ sông Niger
108455	Hòa ước Nhâm Tuất (1862)
71051	Eure-et-Loir
525851	Porto
3423570	Ngôn ngữ creole
3261951	Damas
548f3a4b9e6505cbc5c50d7f2acb108b	Christopher Hibbert
54524b8fbc72492d6b0f5259094394d5	Biểu tỉnh nến tại Bratislava
5390d9527c0e43413215dea6e96c8870	Mỏ Shtokman
1279522	Thập niên 50
3a392e5dfb10595f9f9bcdeff01b5e38	Dầu hắc ín
3645568	Hưng Long
1568	Công nghệ
c9ece25f9cf0c05a58e7d4d37d492625	Bassae
251842	Tam độc
49c30c476f59decc25f35e23ccf61003	Antonie Pannekoek
08291a58d9a9fd726b8f3a1e6bb1d295	Cụm di tích lịch sử văn hóa đình-chùa Trác Bút
93a1ca7c4ce167c28453e1769d67cf75	Thể loại:Mất năm 1957
267293	Borgo Ticino
505263	Hoàng Hữu Xứng
ae537294a8918bfac706f5a3949e7bd2	Eduard Suess
7eac7baec8808ce988f6301e358e3435	Pierres de Lecq
8ae8c980cda5838da051e2590fdf23a1	Alpes Poeninae
60d3a4ea7b8ca553118623ffb52f073a	Các hình thức cổ phần hoá
a3ffe44f59f3492f8f18dcc53805866b	Chứng khoán dạng nợ
327316	Hệ số biến thiên
137261	Công ty Đông Ấn
3125668	Chăn nuôi gia súc lấy sữa
256157	Cyaxares
139959	Chủ nghĩa xã hội thị trường
b42271404b4d825719531dfc7ff9340e	Spheroidit
1279611	Thập niên 750
87005f01cd9d4ac50e340c3b110d20c8	Archelaus
201756	1773
242789	Bujumbura
3696473	Hittite
7acdc81927a4653e0c2d834e2df4b071	Francis, Công tước Guise
820931	Essex
150311	Bảo Lạc
819747	Văn phòng
120653	Karl Gjellerup
fc0a7e8da861a1ac62c50a0b19eda0ae	Cinnamomum antillarum
64d689fa4a86c057c2c4a308ff978c08	Congressional Quarterly
36695	Châu Đốc
39575	Gruzia
191349	Kabuki
c7350b4621d6852525266cffb9afbae8	Boomerang (Spain)
f864c7672881cd1ea2440bc16ea208e9	Kösem Sultan
816106	Mẫu giáo
2440797	Cánh tả
110094	Cảnh Đức Trấn
384026	Antigonos II Gonatas
20318	5 tháng 6
400c97c599a46c641068fcbda369d332	Bán đảo Delmarva
ce9c06defc3f0962390013e02ec1f039	Gia tộc Mōri
25174626d024a6948c18f205c577f1d8	Thể loại:Phá hủy thập kỷ 150 TCN
020c566ebf583d07962e946f9a73fd6d	Find a Grave
254393	Bering Air
20333	13 tháng 6
77dc8bef940859b5def22d1b6afbae5f	Hoàng Duy Giang
71046	Creuse
450041	Giáo hoàng Agapêtô II
12a9c3072dee13f6634f93c9e0c3236f	Thư viện Paris
25ee6b749907822be7e1be893d54825c	Bắc Manchester, Indiana
232169	Badajoz
d4dc66af9ac14d03f17f2d260fe7633e	Danh sách các quốc gia thành viên Liên minh châu Phi theo hệ thống chính trị
1752572	Dàn nhạc thính phòng
801a2b62650e2e25df917962298d0b75	Thập niên 1060 TCN
231787	Charles X của Pháp
3370	Năm chí tuyến
2a49e384eb745ca046b5cd92a9fb5f4c	Đàm phán
d717cfb63f7d2a6718579b03a82c080c	27th G8 summit
ffb3ee7bfac7f23b6586e8e966904142	Công chúa Louise-Elisabeth của Pháp
529163	1511
2f24e405ef4523d2cfb554d5102dc70b	Faslane
be3f6e75827003b75851a544ca47cb96	Thế kỷ 25
c436818e53353cbeb115638d17090c68	Dung dịch iốt
40041	Huyện (Việt Nam)
542957	195 TCN
e5456bda298be3f1d7234cf74184f34b	Kennedy Center Honors
53775	Thể loại:Sinh thập kỷ 1780
bb221bc1ea2e1241d990c22620da37b2	Du lịch văn hóa
96878	Không lực Việt Nam Cộng hòa
f86e9efb2e878dc24c095bcfcc5f443f	Chartered Bank of India, Australia and China
fd1a759256c407e361c2127af6bf8265	Central Provident Fund
540948	Ancona
1612743	Buenos Aires (tổng)
7b51ebb960b135fb74e796209135fd42	Gunter Luling
71515	Lille
528430	1702
44	Lào Cai
2226792	Kiệt tác truyền khẩu và phi vật thể nhân loại
d6971d7fa41fe1c29998c0a7e23e2a19	Harmattan
1750488	World Digital Library
212742	Kampot (tỉnh)
529267	1647
187024	ISO 3166-2:BG
2366e43d7c461d257c79993f7c33c27d	Cảnh báo màu sắc
150412	Cầu Ngang
aaec3b15675041a513705d1a93069e07	Bo Ma
41279	Tự Đức
8980580ab2d62e6e01ad36c3d12676cf	Nguyễn Viết Khang
1244507	Hòa Sơn, Hiệp Hòa
576960	Nội chiến Quốc-Cộng
e75bdd2ca77158adb59d630da7893f90	Alutiiq
128567	Thầy thuốc
3243051	Phiên Ngung
581453	Goiás
591446f58059c9ded72fb89cf1a72e94	Cảnh Trọng Minh
8ec0fd22d434b18bae54801a80f70cba	Chính trị Algérie
437577	Higashimurayama, Tokyo
43866	Hóa dược
38308	Bahamas
37c2f327e54717b5f15b98b0a83d63d4	Bá Quán
33006	Dao
6b55a05c09c693d0cdcaf6f763c716c9	Hữu bộ Tỳ nại Da tạp sự
62569	Trịnh Cương
86ac20dcb00ccf37f1827cd4044d891c	Axit eicosapentaenoic
ac6d7c98819fa7923372391e2c4edcd4	Câu lạc bộ Bóng đá Crystal Palace
3680829	Hoàng Đạo
a7a179c833372d87b086b0783439f1d4	Ca sỹ (nhạc cổ điển)
64351	Đặng Tất
8b41736062ddc68d67263a76d3cdd24c	2005-06-23
e3a9463e7051b781dbe616d0dea779be	Thể loại:Phá hủy thập kỷ 220 TCN
53766	Thể loại:Sinh thập kỷ 1740
a7745972e8cdde6fa8c9114d947d1b44	Kagyupa
20315	4 tháng 6
09464ad49b1f6716bcc575e81db734a1	Sông Aksu
a3c8a46a0ce2f965314f9a053948e3e6	David Samanez Ocampo
44711	Nam Định (thành phố)
250769	Gia Ngư
532117	420
dbac029a84c6ab0bdfe33393c6773efa	Chế Ma Na
9bfbee9ca8a689f3a593fa0cf118982f	Envy
107895	1924
6ccd87a3a835951b6f526ab018a1b570	Monotype
2215	Nguyễn Hoàng
258581	Diyarbakır
253079	Cao Cảng
103314	Đức Hòa
8f7995df92687385f36f1e279721f5f8	Baji Rao I
797641	Kandal (tỉnh)
2436	Hoạch định tài nguyên doanh nghiệp
52676b952b931f5516828db019df8bfb	Chính Đại
33	Thụy Điển
82974	Cau
37568	Cộng hòa Dân chủ Congo
12c578c9f48dd6727464670d5daa0f9c	MF
16162	Hệ sinh thái
404410	An Nam tứ đại khí
6317	Atlantica
640886	Anceins
78750	Hai Bà Trưng (quận)
4706	Công nghệ thông tin
7890322	Sự thật
2460645	The Christian Science Monitor
126197	Phân cấp hành chính Bồ Đào Nha
57704	2007
24595	Hình tròn
25743	Nghĩa trang Père-Lachaise
e3f439b6cf5d57973a9eb6d661ed3434	Bính âm bưu chính tiếng Hán
206737	Tiếng Ba Lan
c0bd5b197c9c796954434e50de8b5f35	Joseph Roumanille
0775516315dfb8ec1140135f59263456	1876 Democratic National Convention
6e96a928ed731a7e7b89b598863208ae	Cacboxylic
9599	Microsoft Windows
e20f0884119f1075d5e0100325871c45	Benedict Arnold
63fa49370221395948cbe93d87c38d3f	Hác Ngọc Lân
315801	Bảo tàng Phụ nữ Việt Nam
1242968	Cẩm Thành, Cẩm Xuyên
109547	Aqua (ban nhạc)
3254184	Cục đúc tiền kim loại Hoa Kỳ
1fead301b8a98c0b1411983e01f8a7dd	Baba Nobushige
1422408	Georg Lukács
260417	Phân ngành
411602	Anorthit
31916d104b7a78da339754da9741fd11	Bún mực Vạn Ninh
126884	Kết hôn
7a18449ff549486bc6c597f60a0f06a7	Louis St. Laurent
b439260646c96422fd1a7999098b4cb7	Andrzej Wajda
4b09fce4ebe8af4b8976ddf5dc4f6307	Bàn Văn Nhị
d76f28088c79d2b073bfa7fe04e85764	Athens Olympic Sports Complex
52e91721926bfdfc1cbb4aab00290d57	Do Khaharan
9063557660321fe05de8f9fdc3c9952f	Hoàng tử Frederick, Công tước xứ York và Albany
8bfef319e3f1370141356eb6ec133b8c	Hòa Ước Westphalia
280214	Dân ca ví, giặm Nghệ Tĩnh
ba2aea2267f19949ae1546d855908300	Canto a Baja California
fd6db1b120bb7dc78c8e6f0a06cc5d8c	Vùng hóa trị
3146876	Messiah
70cb4cbeca2d13c1c5ea69c7b9ee424c	2060 Chiron
804739	4 Vesta
829059	Frederik, Thái tử Đan Mạch
234721	Khu chưa hợp nhất
866226	Phúc Lộc
827911d6074dfd1edfdc5b50e8005239	Hệ chữ nổi tiếng Mông Cổ
8ff2f48874f6b85287b0a17337e19c3c	Blanche Lincoln
36349	Cầu Trường Tiền
235189	Belmopan
2388926	Chính trị toàn cầu
5f0d9796c94bdb888030bd2708f0ff53	Chiến tranh Trung-Pháp
31344	Hệ thống X Window
eb94094493d9ac0df8698c7f12ded060	Demogorgon
4ad691f1e097fadf1f6940ca27fd71ce	Bản Nhã Thất Lý
1331364	Đồng nhất
87b8d310716163624c895206abbf9393	Cát Thành Tử
51453	El Niño
d8683254148b81e486089bea06ae4c9f	A Cửu
fe284075f4502d0cc7b2fc546bed7b48	Avshalom Elitzur
77652	Hệ tinh thể lập phương
e6c53275731a692b6ce0138bf0d27e04	Cổ phần phổ thông
99383	Trung đoàn
48286	Thành phố
147025	Oudong
24e1a8b83a4aa4a56f1d17c771b1f6bc	Bract
b785ae472c32003b4d6355c27179966d	American Airlines Cargo
d8fa31ca67f51507eb34b2578dab1d51	Trung tâm lưu trữ quốc gia
1646342	Cuộc đời của Pi (phim)
1a5bdab6573d832f7cc19f3eb46092d2	Huancavelica
a7908eedb7cd45c0ea47c37f70d1f74f	Danh sách hạt phi thành thị của Anh theo dân số
397013	Quá tải dân số
84f1cdec25d158091b0be87fbd40e739	Großglockner
8780	Angkor Wat
7759833	Danh sách tư thế quan hệ tình dục
530172	Thể loại:Mất thập kỷ 170 TCN
173091	Dương Tuyền
188247	Cổ Lâu
572379	Cape Girardeau, Missouri
13921	Chiến tranh thế giới thứ nhất
7d952d1f452611096b5bac0e7c2bdab9	Ferdinand von Richthofen
db81a083fd2ce23dc80949516df8e283	Arabic language
31446	London
821672	Tuy Ninh (tỉnh)
3b10cce45b9099b60cbad974fa7e65bd	Caroline Lavinia Scott
a5b068d705fd4850e77ed3f2c03f682a	Điền kinh tại Thế vận hội Mùa hè 2008 - 1500 m nữ
198051	James Prescott Joule
f3eae719d718099ca0535def2525506a	Đuôi mở rộng tệp
0118243426ed8f82a852f60d166b1807	Nhập cư lớn
41740	Kiến Phúc
8302902	Chung kết FIFA Club World Cup 2008
acafb6038aab117a86d82e03a23e6396	Danh sách các lãnh thổ bị tranh chấp
400254	Bloc Québécois
42184	Đinh Tiên Hoàng
30499	Chủ nghĩa nhân văn
6c7be6dc4963fdb415dc6950751426ca	École des Sciences Politiques
3849c401c63eaae21135755d1d66a1f0	Computer Graphics Metafile
3121829	Cộng hòa Hà Lan
66701	Âm thanh
610bd0bafcfa7e488f71534c027ddf92	Eastern Orthodox Church
4076	Chàm
ae0d584a31403e89a5d9c845bc25305e	Danh sách kế vị ngai vàng hoàng gia Anh
20581	14 tháng 10
6747	Dương Đình Nghệ
124769	Phân loại khí hậu Köppen
1a0d43d2475e00cc32dd33fb9bf29e4d	Colin Pilkington
c229a354219d9fb2b119aab09eee10ff	Ai Cập Ả rập
bee1606a7e9ec15cd30844472b1fdc29	Benoît Huré
282156	Hội An
7615048	Kazuo Ishiguro
04b46f60a68a4ee5bb97a893df2cb411	ArnT
3172099	Alfred Wallace
1733365	Chu Xương
0ec2db43a81dafcf73109fc67b266492	Edinburgh Military Tattoo
ce96d6767e571dfd460164ac6dc9ea99	Chị em gái đến Bắc Kinh
84990	Nam Đông
27142cf1ce633b5eaad8a3cf09447afa	Rod Steiger
186837	Biển Celtic
f36e85fd8016021f81c45debba85045b	Cỡ đạn
a62ec7a51c2ac846e4acec549505a66b	Tăng Hoán Chương
1437222	Bãi Đường
91115	Cuộc chỉnh lý tại Việt Nam Cộng hòa 1964
1469317b38be6feaef5ed27296f87077	Phật giáo Mật Tông
34834	Chúa Trịnh
10c59845166702885f88c016678ea4eb	Người Marcomanni
b20ec909a140fd18d333aa946b3fa6d5	An Nghĩa công chúa
39ec9a2035b5cde6a413ab2e3ecbcd66	Hương Thu
85082	Phạm Văn Nghị
525825	Linz
1750102	Edwin Freiherr von Manteuffel
461028	Cuộc nổi dậy ở Ba Xuyên (1841)
265783	Fontanelice
242469	Bộ Lại
a4ba8575354f3da9d0f167ea9579bd97	Second Coming
3321162	Nụy khấu
406159	Kiến trúc Rococo
27720	Dương lịch
53661	Thể loại:Sinh thập kỷ 1220
255787	Bắc Đẩu tinh quân
d0949931e6513350ad1ba5cc3d4157f6	Fitzwilliam Sonatas
95cac42e587ffc772d3d5da1de017a40	Air ambulance
7502a413930f69dbe86735ae025bf643	Dương Huyễn Chi
53696	Thể loại:Mất thập kỷ 1390
e521b52a100aca7ba2b5706616a6f5cb	Kokurakita, Kitakyushu
92001e505b22bd98e92660c9d97924a6	CNN-IBN
1320721	Harran
3693735	McGill University
3260306	Cần sa
574281	Cheyenne, Wyoming
809144	León, Guanajuato
3122064	Bất tử
8dbaa2cf3a1c8d81be2f5dcb6d1be377	Anh hùng bản sắc 3
400253	Nam Hoa Kỳ
20558	3 tháng 10
7628	Châu Nam Cực
a840c7e4783e8bf8190e7b5ec3bb72b8	Lenape
dc251be77bbd7ac5d5188267ce410d9d	C. Auguste Dupin
3cb199b97106f030309049ed50df0a53	Asia Pacific Airlines (United States)
f669ac7e0eb52e3b5fc38021ce8481e2	Cisalpine Gaul
232814	Dư Khánh
9ba83e5c7d15a66eab6d4687bdeb28bd	Archidamos III
8bfcb03333cb16ab8fac4c173e6e5e5d	Deutsche
147888	Bầu cử Tổng thống Hàn Quốc năm 2007
2807549	Chiến tranh giải phóng Bangladesh
369583	Tổng thống Iran
19558	Thể loại:Mất 1721
f4b2c19968e50cdd5a90c2d5e1f3ed8c	George Jones (chủ báo)
529198	1558
e73fbf712fddd92fae6a8ac264f34ffe	Thể loại:Thành lập thập kỷ 1050
35b30e4abe09746f8b96b160926d95a2	The Ransom of Red Chief
3433466	Công ty Thông tin di động Việt Nam
153104	An Dương (địa cấp thị)
512074	José de San Martín
200301	Ismailia (tỉnh)
320878	Bộ trưởng Ngân khố Hoa Kỳ
27afc4312e4e027f85c925369400f415	Current French Navy ships
1253760	Trung An, Vũ Thư
997cf8b4449c649ad1e7d2bff32ee46a	Ayatollah
1279662	Thập niên 190 TCN
903c09b6ac93ba8720595bac87e2a857	Axít hydrazoic
61383	Decan
529938	1274
bb2b7f273c0776d64633445518d20fd6	Bá tước xứ March
759097	Erythrina variegata
3303450	Luật Ur-Nammu
e93513f8aaec32e8943a3364f0d336e8	Mưa dông
3654916	Bắc Rhodesia
825238	Bundaberg
98507	Nghiên cứu sinh Việt Nam
870a6cc5e9d2134af7f5ccd4ef060628	Alexandros I của IpirOs
fe27a8684981b43d9ff05511844ed79f	Hội đồng nhân dân Abkhazia
42028	Mạc Thái Tổ
1278842	Quốc lộ
44299	Voi
cde85d29bfb526dba49f382cdaf9f127	Ben Cardin
47c138d639b93ed0b1d61bb281361975	John the Elder
bc7a327fd1415d46abc9f008a1fbf1e1	Alex Gibney
6c87681e22fb0ac82d06d813e8b61017	Chạm khắc
585117ae1b480dd02f1b145c53738775	Chuyện 47 Ronin
6471	Friedrich Hayek
1484995	Anh Bố
de3312fc5f04cbda25a2d2aa22cc1464	Lịch sử quân sự Triều Tiên
19540	Hoàng giáp
7557	Thần thoại Hy Lạp
41ee97bdf524c8c7ec53c655b4095ca6	Chiến tranh giành độc lập Mozambique
4167	Hồng Bàng
20068	5 tháng 1
7d59219cdca647ce82edeba1245adebb	Alaa Abdul-Zahra
75403ac4cf7f8a2e681c94a83a8e4619	Les Petites Dalles
2452540	Bóng đá tại Đại hội Thể thao châu Á 1958
23ccde3ed3bcb1373f1e8808fc72c570	Karamanids
72ae639616d064e819af9fbb706e4921	Capua
1241235	Hải Tây Nữ Chân
7cf4b0240fbe500ca4ed54b37542b349	Khách sạn Sheraton Aleppo
f8e61d8515940366c8d9dc569e62649e	Biện Sơn
8459	Acgumen của cận điểm
1127257	Cao Ly Mục Tông
899df63e3769cb5f194d0a8b9af8e04d	Chu Văn Rỵ
413500	Badenweiler
542971	209 TCN
63213	Chiết Giang
267300	Bogogno
98823	Bát cực quyền
d73b7faf545639ad20898808e57544b7	Hình thức kiến trúc
adddf0be10b4d5bbcba119bdc5134dba	Spanish National Time Trial Championships
00c426a9dd03ba2148ead833e13fda23	Taifa
523998	Thập niên 1800
434035	Acer Inc.
617ca02aecaaa1ac286484dad6d55636	Alison Redford
de3345177f82f1a55224831dbf5bd198	C A R Hoare
409583	Chiến dịch Phan Rang - Xuân Lộc
3bdc2e83f5a2986d255a0653c9a00ee9	Tôn Thất Thăng
5d8117707e7c283e5b2ade17bae6f347	Einmánuður
3426900	Bóng chuyền bãi biển tại Thế vận hội Mùa hè 2016 - Nam
529145	1527
99011	Hoàng Lê nhất thống chí
104e5e5aa65fb4a6f1aa611e22c82bc8	Chiến tranh giành độc lập Eritrea
d5fef42de445a1adf564d8ad4bd39d2a	CIO
a44ef6e57f20d92ee54ce6cd128f7342	Kaleshwaram
257a28de6418e3fc41aa6e2ad0418fae	Cuộc chiến tranh Mexico và Hoa Kỳ
459e73bfb3f3deb9ba3b972ab8c550ff	Thể loại:Thành lập thập kỷ 1650
64294	1969
cedf70f82eb6c77a6f82acdd865ef04f	Julian Lloyd Webber
315416	Thượng Hội đồng Quốc gia (Việt Nam Cộng hòa)
797790	Công ty Đông Ấn Anh
468d41a4d96382c6d6c0c19a46b76beb	Alexander Dallas Bache
050b1f6e8dbbe713e2b3dd7831d1b6f6	Andrea Caraffa
18964812a5cca42aabfa0893efe06db3	Miêu Nhược Lan
b8a2e7adc1dc4c804ba020bbcc5199ba	Bruce Medal
